title,score,category,description,proficiencyLevel,surveyUrl
[CSG] Initiate Customer Conversations: Media & Entertainment,4.714285714,Industry,Learn about the latest high-level trends affecting the media and entertainment industry to help you drive customer conversations.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000ACha&surveyName=act_course_survey&UUID=1245f4a8-13e2-45d4-927c-ffa2c1d02610
Sales Leader Group Coaching Sessions: Phase 3,0,Soft Skills,This course is for sales leaders attending Sales Leader Group Coaching Sessions in Phase 3 of the Sales Leader Onboarding Program.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U4Lw&surveyName=act_course_survey&UUID=bd363fd2-e6ac-469e-bf7a-e199455f5d8f
Sales Leader Group Coaching Sessions: Phase 2,0,Soft Skills,This course is for sales leaders attending Sales Leader Group Coaching Sessions in Phase 2 of the Sales Leader Onboarding Program.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U468&surveyName=act_course_survey&UUID=799c5a8a-d4f6-49eb-b13e-5c1b2c675a08
Simulation: Why Salesforce? (Japan),0,Soft Skills,,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000005mLy&surveyName=act_course_survey&UUID=67bc0d7a-1198-4ffd-91e3-cc411d8631b5
Industry Simulation Facilitator Prep: MedTech Season 1,0,Industry,This course provides instructions and prep materials for industry simulations so you can successfully facilitate the program.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000QfE9&surveyName=act_course_survey&UUID=e04c0dc8-ba14-4002-bfc3-18a004b0e759
"[RD] C360M Partner Phase: ""Why Now"" Conversations & Negotiation Essentials",0,Salesforce Smart,Build critical negotiation skills that help you have valuable customer conversations and advance your deal now.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U0SH&surveyName=act_course_survey&UUID=057d1058-389f-47e7-b875-960d807c53aa
Clone of Industry Simulation: Payer Season 2,0,Industry,This course will take you through the Payer simulation.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000005lL0&surveyName=act_course_survey&UUID=93e29627-dc6f-4d5a-917d-3566363bd542
Industry Simulation Prework: Power & Utilities S2,0,Soft Skills,This module contains the prework for the Industry Simulation Season 2.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000QfXc&surveyName=act_course_survey&UUID=b03742cb-2a13-4765-9e93-7f830e43b3ce
Industry Simulation Prework: Consumer Goods S2,0,Soft Skills,This module contains the prework for the Industry Simulation Season 2.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000QfXS&surveyName=act_course_survey&UUID=28dd26aa-6f85-40ab-b78f-a1e3aea48e37
Industry Certifications: Financial Services (Japan),0,Industry,本コースでは、業界特有のトレンドやSalesforceの強みを学習することができます。,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000005mR3&surveyName=act_course_survey&UUID=161d9589-ac6d-4031-bb4e-aa29b89a8511
Initiate Customer Conversations: Media & Entertainment SYK Certification,4.333333333,Industry,Learn about the latest high-level trends affecting the media and entertainment industry to help you drive customer conversations.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U4h9&surveyName=act_course_survey&UUID=c221c53f-3a26-490a-8c84-4de93b227870
B2B Solution Architect: Account-Based Selling & Marketing with Lending Companies,0,Industry,This course is part of the B2B Solution Architect series. Learn how insurance companies use Financial Services Cloud Lending and Pardot to provide growing customer marketing specific to their needs as well as Sales Cloud to create relevant up-sell and cro,Advanced,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000Qeht&surveyName=act_course_survey&UUID=7bc78723-fcc9-48a4-9ab5-89a3c804398d
[TEST] Negotiate Success,0,Salesforce Smart,This course will provide a process to recognise and acknowledge both parties’s perspective to jointly create agreements that build trusting relationships with our customers and strengthens Salesforce position for future opportunities.,Intermediate,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E0000001ESc&surveyName=act_course_survey&UUID=0a6f9672-7384-4741-abcd-a71d16dbfd72
【Manufacturing】Industry Simulation Season1: Know Your Industry Customer  (Japan),0,Soft Skills,,Intermediate,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000U5Om&surveyName=act_course_survey&UUID=e8ff7df9-b878-44d7-8d2b-ed2a413b543e
Industry Simulation Facilitator Prep: Media & Entertainment Season 1,0,Industry,This course provides instructions and prep materials for industry simulations so you can successfully facilitate the program.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000QesS&surveyName=act_course_survey&UUID=aab28e36-73a4-46f9-9e54-df6bc3c8e5a9
Industry Simulation Facilitator Prep: Power & Utilities Season 1,0,Industry,This course provides instructions and prep materials for industry simulations so you can successfully facilitate the program.,Beginner,https://readiness.my.salesforce.com/survey/runtimeApp.app?invitationId=0Ki2E000000Qesc&surveyName=act_course_survey&UUID=7acce87b-cc42-4909-9df7-631c2492a4b7
